Temperatura_C,Pressione_atm,Concentrazione_Iniziale_gL,Agitazione,Solubilita_gL
36.2,1.01,308.9,1,380.5
76.6,1.64,237.0,1,411.9
61.2,0.86,149.3,0,191.3
51.9,2.35,69.1,0,206.9
20.9,1.24,143.3,0,65.2
20.9,1.93,147.6,0,80.7
14.1,1.33,268.9,1,275.7
70.6,1.68,241.3,1,409.9
52.1,1.73,316.2,0,153.2
59.6,1.11,191.7,1,337.7
11.4,2.45,85.9,0,55.9
77.9,2.12,264.0,0,255.6
68.3,2.4,278.2,0,216.2
24.9,2.32,218.4,0,123.1
22.7,1.82,281.3,1,306.5
22.8,2.37,198.1,0,95.5
31.3,0.95,206.8,1,277.1
46.7,1.13,178.3,1,275.6
40.2,0.88,57.6,0,128.5
30.4,1.35,82.4,1,187.0
52.8,1.46,59.4,1,198.0
19.8,1.26,240.9,0,76.6
30.5,2.21,144.3,0,121.7
35.6,1.41,202.6,0,130.2
41.9,1.28,322.3,0,121.7
65.0,1.72,124.8,0,192.0
24.0,1.04,173.1,1,227.5
46.0,2.16,276.7,1,386.1
51.5,0.93,118.6,0,161.2
13.3,2.48,73.1,0,78.6
52.5,2.11,136.9,1,280.0
21.9,1.14,98.4,0,81.2
14.6,0.81,328.9,0,56.5
76.4,2.19,292.4,0,238.2
77.6,2.0,240.0,1,461.7
66.6,2.04,311.4,0,222.8
31.3,2.11,291.1,1,337.9
16.8,0.93,106.0,1,153.7
57.9,1.41,317.8,0,171.6
40.8,1.0,211.8,1,308.1
